epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.949668,0,87.415,0,0,0,0,0,0,25.8438,0,2.858e-05,2.858e-05,2.858e-05
2,1.58921,0,87.2032,0,0,0,0,0,0,25.8438,0,7.14429e-05,7.14429e-05,7.14429e-05
3,2.2976,0,86.7259,0,0,0,0,0,0,25.8438,0,0.000114297,0.000114297,0.000114297
4,3.01452,0,86.0895,0,0,0,0,0,0,25.8438,0,0.000157143,0.000157143,0.000157143
5,3.75814,0,85.0131,0,0,0,0,0,0,25.8438,0,0.000199981,0.000199981,0.000199981
6,4.50021,0,82.3758,0,0,0,0,0,0,25.8438,0,0.00024281,0.00024281,0.00024281
7,5.33672,0,80.3809,0,0,0,0,0,0,25.8438,0,0.00028563,0.00028563,0.00028563
8,6.01582,0,78.3733,0,0,0,0,0,0,25.8906,0,0.000328442,0.000328442,0.000328442
9,6.73464,0,75.9153,0,0,0,0,0,0,27.1562,0,0.000371246,0.000371246,0.000371246
10,7.41783,0,73.8455,0,0,0,0,0,0,28.7344,0,0.000414041,0.000414041,0.000414041
11,8.11685,0,71.1323,0,0,0,0,0,0,26.4688,0,0.000456827,0.000456827,0.000456827
12,8.79061,0,69.2251,0,0,0,0,0,0,26.0938,0,0.000499605,0.000499605,0.000499605
13,9.49048,0,66.74,0,0,0,0,0,0,24.4062,0,0.000542375,0.000542375,0.000542375
14,10.1668,0,67.6854,0,0,0,0,0,0,25.2812,0,0.000585136,0.000585136,0.000585136
15,10.8759,0,67.4253,0,0,0,0,0,0,22.4531,0,0.000627889,0.000627889,0.000627889
16,11.557,0,65.6499,0,0,0,0,0,0,50.7812,0,0.000670633,0.000670633,0.000670633
17,12.257,0,64.1337,0,0,0,0,0,0,10544,0,0.000713368,0.000713368,0.000713368
18,12.9436,0,62.3003,0,0,0,0,0,0,3002,0,0.000756095,0.000756095,0.000756095
19,13.6394,0,60.9253,0,0,0,0,0,0,107.562,0,0.000798814,0.000798814,0.000798814
20,14.6949,0,60.2206,0,0,0,0,0,0,17.9688,0,0.000841524,0.000841524,0.000841524
21,15.3123,0,59.3055,0,0,0,0,0,0,23.9844,0,0.000884226,0.000884226,0.000884226
22,15.9289,0,58.6191,0,0,0,0,0,0,142.25,0,0.000926919,0.000926919,0.000926919
23,16.5649,0,57.5738,0,0,0,0,0,0,238.75,0,0.000969604,0.000969604,0.000969604
24,17.2259,0,56.6639,0,0,0,0,0,0,130,0,0.00101228,0.00101228,0.00101228
25,17.8942,0,55.8149,0,0,0,0,0,0,19.2656,0,0.00105495,0.00105495,0.00105495
26,18.5532,0,55.4533,0,0,0,0,0,0,21.3125,0,0.00109761,0.00109761,0.00109761
27,19.254,0,56.8164,0,0,0,0,0,0,19.9531,0,0.00114026,0.00114026,0.00114026
28,19.9431,0,54.4934,0,0,0,0,0,0,20.3438,0,0.0011829,0.0011829,0.0011829
29,20.5718,0,53.2604,0,0,0,0,0,0,20.3438,0,0.00122553,0.00122553,0.00122553
30,21.2336,0,52.6723,0,0,0,0,0,0,28.2812,0,0.00126816,0.00126816,0.00126816
31,21.8761,0,52.3286,0,0,0,0,0,0,20.625,0,0.00131078,0.00131078,0.00131078
32,22.6659,0,51.6767,0,0,0,0,0,0,20.5781,0,0.00135338,0.00135338,0.00135338
33,23.3066,0,50.3339,0,0,0,0,0,0,20.5781,0,0.00139598,0.00139598,0.00139598
34,24.0128,0,49.9638,0,0,0,0,0,0,18.3906,0,0.00142433,0.00142433,0.00142433
35,24.7061,0,49.246,0,0,0,0,0,0,17.1562,0,0.00142419,0.00142419,0.00142419
36,25.4049,0,48.3391,0,0,0,0,0,0,16.7812,0,0.00142405,0.00142405,0.00142405
37,26.0887,0,47.387,0,0,0,0,0,0,16.7812,0,0.00142391,0.00142391,0.00142391
38,26.7834,0,47.0729,0,0,0,0,0,0,24.625,0,0.00142377,0.00142377,0.00142377
