epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06053,1.71818,3.62452,1.93215,0.00443,0.4,0.01877,0.0044,1.62272,3.56307,2.08687,2.858e-05,2.858e-05,2.858e-05
2,1.72523,1.67301,3.67991,1.85602,0.0041,0.36667,0.01991,0.00544,1.54682,3.53917,2.00242,7.13793e-05,7.13793e-05,7.13793e-05
3,2.41778,1.63556,3.77649,1.73633,0.00534,0.46667,0.09539,0.06725,1.19439,3.41214,1.57327,0.000114094,0.000114094,0.000114094
4,3.10609,1.36397,3.45555,1.50666,0.0069,0.6,0.25598,0.19053,1.09195,3.26537,1.36149,0.000156723,0.000156723,0.000156723
5,3.80498,1.16638,2.96302,1.38382,0.00992,0.8,0.32589,0.26119,1.04278,3.01344,1.21412,0.000199268,0.000199268,0.000199268
6,4.4756,1.7512,2.77226,1.68802,0.00914,0.73333,0.36387,0.29582,1.0496,2.94733,1.23416,0.000241727,0.000241727,0.000241727
7,5.17231,1.22127,2.08378,1.28315,0.00938,0.8,0.36338,0.28937,1.08595,2.92567,1.30947,0.000284102,0.000284102,0.000284102
8,5.81312,1.34467,1.96386,1.38604,0.00854,0.73333,0.3901,0.31403,1.07239,2.91765,1.28724,0.000326392,0.000326392,0.000326392
9,6.49574,1.11535,1.71835,1.25296,0.00816,0.76667,0.47274,0.36378,1.15415,2.92643,1.34253,0.000368597,0.000368597,0.000368597
10,7.14938,1.18278,1.76761,1.37422,0.00815,0.76667,0.46347,0.32882,1.15713,2.99908,1.36271,0.000410718,0.000410718,0.000410718
11,7.81617,1.17005,1.79052,1.3043,0.00632,0.63333,0.27093,0.21041,1.09681,3.19814,1.42358,0.000452753,0.000452753,0.000452753
12,8.45214,1.26132,1.67235,1.33276,0.00702,0.7,0.27691,0.20008,1.13957,3.19929,1.47571,0.000494703,0.000494703,0.000494703
13,9.11289,1.10879,1.48336,1.25141,0.00737,0.73333,0.25748,0.17039,1.22007,3.26327,1.57341,0.000536569,0.000536569,0.000536569
14,9.78166,1.12673,1.53251,1.26247,0.00797,0.8,0.31674,0.18508,1.12671,3.17229,1.4787,0.00057835,0.00057835,0.00057835
15,10.7168,1.20177,1.54353,1.40611,0.85101,0.03333,0.23396,0.12245,1.08319,3.15796,1.47696,0.000620045,0.000620045,0.000620045
16,11.3699,1.28379,1.61705,1.29031,0.00742,0.73333,0.14308,0.09034,1.09416,3.23186,1.46857,0.000661656,0.000661656,0.000661656
17,12.0185,1.11297,1.5381,1.2734,0.2306,0.43333,0.24449,0.12678,1.17017,3.19448,1.50764,0.000703182,0.000703182,0.000703182
18,12.6606,1.79326,1.98322,1.83898,0.59641,0.2,0.27879,0.17444,1.18461,3.1299,1.48474,0.000744623,0.000744623,0.000744623
19,13.3223,1.07434,1.77178,1.21882,0.64271,0.25227,0.32352,0.22639,1.19397,3.05274,1.49988,0.00078598,0.00078598,0.00078598
20,13.9612,1.19286,1.75279,1.39984,0.68361,0.34724,0.38731,0.26661,1.17281,2.94445,1.46585,0.000827251,0.000827251,0.000827251
21,14.6135,1.09016,1.43869,1.21827,0.68957,0.41514,0.41447,0.27144,1.22416,2.86187,1.51951,0.000868438,0.000868438,0.000868438
22,15.2573,1.30662,1.71373,1.25391,0.67891,0.4747,0.44298,0.27177,1.22233,2.85417,1.43837,0.000909539,0.000909539,0.000909539
23,15.8972,1.49793,1.55648,1.54376,0.59405,0.50493,0.42435,0.21897,1.25861,2.85987,1.48243,0.000950556,0.000950556,0.000950556
24,16.539,1.13786,1.44823,1.18907,0.64327,0.46439,0.45007,0.27947,1.32025,2.5446,1.51673,0.000991488,0.000991488,0.000991488
25,17.2158,1.14655,1.38878,1.21582,0.60907,0.43001,0.43553,0.23916,1.39034,2.62058,1.65149,0.00103233,0.00103233,0.00103233
26,17.8662,1.05204,1.32728,1.21254,0.67857,0.36667,0.46305,0.23626,1.27767,2.62433,1.4693,0.0010731,0.0010731,0.0010731
27,18.5129,1.03135,1.3677,1.16662,0.56337,0.4,0.43619,0.2617,1.27337,2.63673,1.40537,0.00111377,0.00111377,0.00111377
28,19.3317,1.05163,1.46242,1.31279,0.40768,0.3,0.3202,0.17576,1.35546,2.87904,1.51777,0.00115437,0.00115437,0.00115437
29,19.9584,1.12013,1.33244,1.28397,0.40768,0.3,0.3202,0.17576,1.35546,2.87904,1.51777,0.00119487,0.00119487,0.00119487
30,20.6052,1.14717,1.41039,1.26083,0.43536,0.3305,0.30769,0.17932,1.47467,2.88882,1.6574,0.0012353,0.0012353,0.0012353
31,21.27,1.12597,1.30094,1.17298,0.45844,0.36103,0.30448,0.18481,1.4755,3.01183,1.60724,0.00127563,0.00127563,0.00127563
32,21.9211,0.83167,1.50821,1.1688,0.46576,0.42033,0.39101,0.23492,1.43762,2.99833,1.52161,0.00131589,0.00131589,0.00131589
33,22.5446,1.07702,1.14457,1.19068,0.46576,0.42033,0.39101,0.23492,1.43762,2.99833,1.52161,0.00135605,0.00135605,0.00135605
34,23.1913,1.10422,1.55059,1.28689,0.36412,0.40534,0.37985,0.23216,1.3751,2.84808,1.56183,0.00138231,0.00138231,0.00138231
